content,hotel,stars,title
"Hotel con encanto en pleno corazón de Granada , habitaciones muy acogedoras y el personal muy amable , gracias Sera por tu ayuda , profesionalidad y amabilidad ! ",Hotel Palacio de Los Navas,4 de 5 burbujas,Muy bien situado
"Gran hotel en el centro de granada. Las habitaciones están muy cuidadas, limpias y  por suerte (al menos la nuestra) con muy buena vista. Por ponerle un pero el precio alto del desayuno, pero por lo demás recomendable ",NH Collection Granada Victoria,"4,5 de 5 burbujas",Hospedaje con desayuno
"Recientemente hemos estado en Granada y nos alojamos en este maravilloso hotel. La habitación que nos dieron era muy acogedora, con cama matrimonial de por lo menos ",Eurostars Gran Vía,4 de 5 burbujas,Multa asegurada de 80 euros si vas en coche
"Estimada ninfa15,",Melia Granada,4 de 5 burbujas,Centrivo
"Si bien figura como hotel de 5 estrellas no alcanza el objetivo. Esta muy bien ubicado. Habitaciones muy buenas , comodas Desayuno muy bueno. Excelente atención. ",Eurostars Gran Vía,4 de 5 burbujas,Excelente ubicacion
"Personal súper atento y amable , nos trataron súper bien . La habitación elegida era superior y daba al patio . Todo un Lujo poder asomarse y ver esa belleza . Muy limpio y cuidando los detalles . No puedo decir nada negativo . Volveremos ","AC Palacio De Santa Paula, Autograph Collection",4 de 5 burbujas,Excelente
"Estimado Alberto,",Hotel Casa del Capitel Nazari,"4,5 de 5 burbujas",NUBES Y CLAROS
"Estimado huésped,",Hotel Casa del Capitel Nazari,"4,5 de 5 burbujas",Buen hotel con excelente ubicación
"Estimado huésped,",NH Collection Granada Victoria,"4,5 de 5 burbujas",Visita a Granada
"Queridos Clientes,",NH Collection Granada Victoria,"4,5 de 5 burbujas",Hotel muy céntrico 
"Estimado 956viajero,",Melia Granada,4 de 5 burbujas,Excelente
Es un hotel situado en el corazón de granada. Pequeño y acogedor . Esta en una callecita que conecta con la camineria de los restaurantes y tiendas. La primera impresión no dice lo cómodo y agradable que resulta. Tiene un desayuno estupendo y servicios de spa. Los buses pasan por la esquina. Me encantó llegar allí.,Hotel Palacio de Los Navas,4 de 5 burbujas,Correcto
"A 2 cuadras de la Catedral,, cerca de todo.",Reina Cristina Hotel,4 de 5 burbujas,Muy buena opción en pleno centro
"Este hotel está situado junto a la plaza de la Trinidad, cerca de la Catedral de Granada, de la plaza de Birrambla y de la Pescadería, junto a las céntricas y comerciales calles que hay en sus alrededores, Es un hotel perfecto para poder ver bien parte del centro de esta preciosa localidad. El hotel esta en un edificio antiguo, con un precioso patio interior, y aunque no es muy moderno (es de los que sigue teniendo sus llaveros y no tarjetas electrónicas para entrar en las habitaciones), está bastante bien adaptado y conservado, La única cuestión por la que no le puedo dar un excelente, es que en la ducha el agua cae con muy poca fuerza, sobre todo el agua caliente. En este hotel hay un restaurante y también cafetería. La calle del hotel es reservada solo para autorizados, y se puede encontrar aparcamientos, pero con dificultad en los alrededores, pero es zona azul de pago. Tienen parking no propio sino público que cuesta 18 euros al día. El servicio y la atención, así como la limpieza perfectos. Si vuelvo a ir para alguna fiesta en el centro, seguro que puede que repita.",Reina Cristina Hotel,4 de 5 burbujas,Muy buen servicio y mejor precio 
Sin lugar a dudas la Ubicación del hotel es muy buena. Te queda cerca todo,Reina Cristina Hotel,4 de 5 burbujas,Buena ubicación. 
"Muy bien ubicado, en pleno centro de Granada. se puede ir andando a casi todos los isitos de interés. El hotel es muy bonito y pintoresco,  las habitaciones aunque algo antiguas son bonitas y muy limpias, además están muy bien climatizadas. Las camas son cómodas. Está en una calle tranquila y no hay ruidos por lo que el descanso está asegurado. El personal de recepción es muy amable y atienden todas tus dudas. El servicio buffet del desayuno es muy completo y variado para todo tipo de gustos (panes, dulces, embutidos, fruta, yogures, zumos, café, untables, huevos, bacon.....) y Ángela, la chica que en encarga de atender en los desayunos es simpatiquísima y muy atenta, una gran profesional.  Volvería a repetir estancia sin duda alguna.",Reina Cristina Hotel,4 de 5 burbujas,"Un hotel en pleno centro historico, muy pintoresco y confortable."
"La ubicación del hotel es muy buena comparado a los demás hoteles, cerca de todo, se puede ir caminando. ",Reina Cristina Hotel,4 de 5 burbujas,Muy buena ubicación!!!!
"Al lado de Plaza Nueva, al  inicio del  Albaicin, con unas privilegiadas vistas de la Alhambra a un paso,  precioso hotel que conjuga encanto, poesía, amabilidad y exquisito trato de quienes allí trabajan",El Ladron de Agua,"4,5 de 5 burbujas",EXCELENTE
"El hotel es excelente, la atención impecable. Tuvimos mucha dificultad para estacionar y hacer el check in. Nos compensaron este inconveniente ofreciéndonos una habitación de mayor categoria. Era magnífica. Por otra parte, nos ayudaron con las reservas de espectáculos que habíamos contratado particularmente y no nos venían a buscar al hotel. Ellos se encargaron de solucionarnos este inconveniente. ",Eurostars Gran Vía,4 de 5 burbujas,Muy basico
"Hotel muuuuuy bien ubicado. Practicamente frente a la Catedral, y mucho transporte. Bares y restaurantes muy cerca. Habitaciones comodas adecuadas para un buen descanso. Las chicas de la recepcion muy amables y con una buena actitud.",Eurostars Gran Vía,4 de 5 burbujas,"excelente ubicación, difícil acceso al hotel"
"El trato es excelente. El hotel está muy bien situado pero para llegar tardamos dos horas por que no tiene parking y es casi imposible acceder al parking q tienen concertado. Me ha parecido carísimo para el poco servicio que da, tiene spa que, por supuesto, tienes que pagar aparte y bien caro. Te dan una invitación para una copa de bienvenida que luego solo puedes canjear por un refresco o café, de vergüenza para lo carísimo que es. El desayuno buffet, aparte también y carísimo para lo que dan. ",Eurostars Gran Vía,4 de 5 burbujas,Recomendado
"La atención recibida fue muy buena, el precio un poco caro pero bueno está en pleno centro y es muy cómodo para poder visitar bien la ciudad. Nos tocó una habitación de la parte antigua y tengo que reconocer que no me lo esperaba, el baño sólo entra una persona, bañera sin esmalte y grifos muy antiguos... en fin a destacar su restaurante y la atención de sus empleados, habitaciónes para reformar",Reina Cristina Hotel,4 de 5 burbujas,"Bonito edificio, deficiente hotel"
Querido cliente,NH Collection Granada Victoria,"4,5 de 5 burbujas",Excelente
"Estimado fsarvise,",Melia Granada,4 de 5 burbujas,Aceptable
"A pesar de lo céntrico que está, su interior es muy tranquilo, el edificio es muy bonito, las exposiciones y biblioteca son un detalle que crea un ambiente especial. Las habitaciones son muy cómodas. Ojalá hubiera dispuesto de más días. El personal muy agradable.",El Ladron de Agua,"4,5 de 5 burbujas",Muy bien situado.
Hotel con una excelente localización y facilidad de acceso a cualquier visita de Granada.,El Ladron de Agua,"4,5 de 5 burbujas",Tranquilidad en el centro
Le agradecemos que se haya tomado su tiempo para contarnos su experiencia en el hotel que lamentamos mucho que haya dado por supuesto que el Parking  era gratis. Intentamos mejora el servicio y conseguir el máximo nivel de satisfacción de nuestros clientes.,Reina Cristina Hotel,4 de 5 burbujas,Engañada
Personal amabilísimo. Ubicación excelente. Habitación aceptable. Pero... 5 estrellas y no tiene una sala donde sentarte un rato ni cafetería en la que tomarte ni tan siquiera un café o un sándwich? El desayuno suficiente. ,Eurostars Gran Vía,4 de 5 burbujas,Buen hotel
"El hotel está muy bien situado y el personal es muy agradable , el entorno es genial , wifi , el desayuno es bastante completo , y en general una buena impresión .",El Ladron de Agua,"4,5 de 5 burbujas",Hotel con encanto en centro de Granada ideal para parejas
"Todo magnífico. Insuperable. Trato del personal exquisito. Buffet del desayuno excelente. Habitación amplia, limpia y cómoda. Buenas vistas desde la terraza en el ático del hotel. Les dejé el coche en la puerta del hotel y ellos se encargaron de llevarlo al párking.",Eurostars Gran Vía,4 de 5 burbujas,Decepcion
"Hotel con encanto en pleno centro de Granada, puedes ir andando a todos los sitios recomendados en esta zona como la Capilla Real de los Reyes Católicos, la Plaza Nueva entre otros. Ideal para ir de compras. ",El Ladron de Agua,"4,5 de 5 burbujas",Monísimo hotelito y perfecta ubicación
"Ademas de lo bonito que es el hotel y el cuidado en la decoracion, la comodidad de las habitaciones (la nuestra era La luna se asoma y nos encanto) y su emplazamiento a la orilla del Darro, nos sentimos muy bien tratados por el personal. Cualquier cosa que pregunatbamos o pediamos era recibida con una sonrisa y ganas de agradar. Nos sentimos muy, muy a gusto.",El Ladron de Agua,"4,5 de 5 burbujas",La alhambra a pie de hotel
"Cuidado con la ""amabilidad"" del dueño. La honestidad brilla por su ausencia. Nos metió doblado el supuesto parking del hotel en el que casi no puede bajar un coche con un coste que debería darles vergüenza ofrecer eso. La otra recepcionista muy borde.",Reina Cristina Hotel,4 de 5 burbujas,Localización muy bien...el resto...mal
"Hemos estado de domingo a martes de Mayo. Todo bien. Limpieza adecuada. Muy centrico. Muy amables todas las personas del hotel. Siempre pendientes para ayudarte. El coche lo hemos podido dejar en aparcamiento hotel,dejamos las llaves y se encargaron de todo. ",Suites Gran Via 44,3 de 5 burbujas,Genial
"Nos dan una habitaciòn con sala de maquinas en el techo que emite ruido,según dicen,por una avería,no lo comprobaron previamente. Pedimos cambio y aceptaron,nos ofrecieron habitaciòn superior,que no aceptamos,no buscábamos eso,solo poder descansar bien. La habitaciòn nueva,correcta.",Eurostars Gran Vía,4 de 5 burbujas,Todo perfecto !!!
"Recién llegado, la atención en recepción esta a la altura de las estrellas.",Eurostars Gran Vía,4 de 5 burbujas,no se corresponde a un hotel de 5 estrellas
"Primero  le agradecemos  hacernos saber la Situación acaecida en nuestro establecimiento , queremos destacar que en ningún caso ustedes comunicaron a la recepción del hotel los hechos acaecidos,  por lo que no pudimos  darle solución al problema. El hotel cuenta con habitaciones Superiores que podríamos haberle ofrecido y cambiado de inmediato.",Reina Cristina Hotel,4 de 5 burbujas,Horrible
"Una casa antigua muy bien restaurada y mantenida, cerca de todo, muy buena atención, tiene el encanto de haber vivido García Lorca, se puede ir de a pie a los lugares más céntricos, pasa el colectivo turístico a una cuadra. Muy recomendable",Reina Cristina Hotel,4 de 5 burbujas,Hotel centrico
"Todo perfecto, volvería sin ninguna duda, personal muy atento, fuimos con un bebe de dos meses y súper atentos que no faltase de nada. ",Eurostars Gran Vía,4 de 5 burbujas,Fantástico 
Es un hotel boutique. Decorado con buen gusto. La habitacion con estilo. La ubicacion es excelente. Se llega a todos lados caminando. Bares y restaurantes cerca. Pero a su vez un hotel tranquilo para disfruttar la ciudad. ,El Ladron de Agua,"4,5 de 5 burbujas",Un Hotel con encanto.
"Un hotel bonito y pintoresco, muy centrico y muy bien situado, habitaciones amplias y desayuno delicioso .",El Ladron de Agua,"4,5 de 5 burbujas",Un hotel con encanto!!!!
Solo se salva la recepcionista que fue muy atenta y amable. ,Reina Cristina Hotel,4 de 5 burbujas,Una noche en Granada
"Muy linda experiencia! Muy buena atención, excelente la ambientación y comodidad de las habitaciones. Un refugio de ensueño, desde el cual poder conocer granada! La ubicación es inmejorable! Muy recomendable.",El Ladron de Agua,"4,5 de 5 burbujas","Excelente hotel y magníficas vistas . Estuve para mi boda y repetire en el aniversario,  la cama comoda, muy atentos,"
"Estuve para mi boda y repetiré en el aniversario.  Cama muy cómoda,  muy atentos,  nos pusieron una botella de cava para brindar. Magníficas vistas y una decoración preciosa. Todo tipo de detalles.  Totalmente recomendable ",El Ladron de Agua,"4,5 de 5 burbujas",muy recomendable
"Estuvimos dos parejas alojados en una escapada de dos noches. Por algunos comentarios de otros pasajeros, estuvimos a punto de escoger otro hotel, ya que leímos que las habitaciones, desayuno y en general el hotel les había decepcionado y que no correspondía con su categoría. Afortunadamente, no hicimos caso a estos comentarios y nos aventuramos a conocer éste hotel. MAGNIFICO, esa es nuestra calificación para éste hotel, para las habitaciones, desayuno, servicio y personal. Altamente recomendable",Eurostars Gran Vía,4 de 5 burbujas,Muy buen hotel y ubicación
"Las habitaciones del hotel son muy lindas, el desayuno podría mejorar. Por otra parte, la ubicación y atención dentro del establecimiento son excelentes. Es muy recomendable dado que de ahí permite ir a diversos puntos turísticos de Granada facilmente.",Eurostars Gran Vía,4 de 5 burbujas,Excelente
PUNTOS POSITIVOS: la entrada y recibidor del hotel son espectaculares. Una casa antigua remodelada y muy bonita de visitar. ,Reina Cristina Hotel,4 de 5 burbujas,Huir
"todo perfecto, trato muy bueno, lo único es que conectamos la calefacción y solo echaba aire frio....",El Ladron de Agua,"4,5 de 5 burbujas",Excelente ubicación y trato del personal. Desayuno mejorable
"El hotel está situado en pleno centro de la ciudad, por lo que la ubicación para moverse por la ciudad sin usar el coche es ideal.  A eso hay que sumarle, que por un precio asequible, el coche duerme en un  garaje público cercano. El hotel es lujoso pero sin estridencias, con un hall ""decorado"" por un suelo de cristal con ruinas, no sé si de las murallas, debajo.  Las habitaciones son algo pequeñas e irregulares, quizás para adaptarse a la arquitectura del edificio, y tienen la peculiaridad de no tener separados físicamente el dormitorio del cuarto de baño. Esto hace que de sensación de mayor amplitud y es original, pero creo que poco funcional. Están decoradas con clase y con muebles de calidad y son muy confortables. El baño carece de bidet.  El desayuno es bastante flojo para un 5 estrellas. Opino que es un elemento a mejorar.  El trato del personal es amabilísimo, serrvicial y muy educado. El spa es pequeño, pero también lujoso, suficiente para relajarse un rato. Lo mejor es el pack con masaje de 20 minutos. La masajista es muy agradable y hace muy bien su trabajo y uno sale muy relajado. Merece la pena.  En resumen un hotel muy recomendable.",Eurostars Gran Vía,4 de 5 burbujas,UN GRAN HOTEL CON UNA UBICACIÓN INMEJORABLE
"Espectacular ubicacion, una vez que entras ves arte en su construccion, decoracion, en todo. Excelente atencion, todas las chicas son super amables y te asesoran en todo, donde ir,  como llegar, nosotros estuvimos en la habitacion del 3er piso, el sueno de Isabel, muy  luminosa, amplia y comoda. La cama super comoda, excelente y amplio bano, una muy buena opcion es para volver. Lo unico que sugiero es optar por desayunar fuera ya que es costoso para lo que se ofrece habiendo muchos lugares para desayunar a 1 cuadra.",El Ladron de Agua,"4,5 de 5 burbujas",Hotel boutique en ubicacion ideal
"Lamento mucho tener que poner esta mala opinión pero como  granadina que soy me ofende y mucho que cuando alguien llama a información de este hotel un señor por llamarlo de alguna manera me trate tan groseramente.No me dijo ni como se llamaba, para poder dirigirme a él, pero está en el turno de mañana de hoy.Teníamos intención de alojar a varias personas, para un nuevo congreso que estamos organizando y de paso queríamos cierta información sobre unos espacios que anteriormente una compañera de ellos tuvo la amabilidad de ofrecernos.Pues bien este "" señor"" desde el momento uno empleó su Malafollá granaina dirigiéndose con muy malos modos a nosotros y poco más que echandonos la bulla.Pido a la dirección que cambie a este ""señor"" de lugar o lo despidan. No esta cualificado para estar de cara al publico.Por lo demás decir que en aquella ocasión en la que alojamos a amigos allí, todo fue bien y estuvimos contentos con el servicio.La chica de recepción fue muy amable y colaboradora con nosotros.",Reina Cristina Hotel,4 de 5 burbujas,Muy cómodo porque está en el centro
El hotel se encuentra en una perfecta situación. Muy cerca de todo.,Reina Cristina Hotel,4 de 5 burbujas,Pintoresco hotel
"Excelente ubicación. Personal de recepción excelente, nos recomendaron lugares para ir y para hacer walking tour. Llegamos y nos hicieron upgrade a una habitación mejor. Muy moderna, limpia, y amplia. Cama muy cómoda, espacio para guardar ropa, baño grande, con ducha separado de la bañera. Muy linda vista. La habitación es igual a las fotos que muestran en la página. El desayuno muy bueno.",Eurostars Gran Vía,4 de 5 burbujas,Confort y elegancia en el mismo centro de Granada
