termino,fs,polaridad,Observación,
abandonar,strongsubj,NEG,,
aberrante,strongsubj,NEG,,
abominación,strongsubj,NEG,,
aborrecer,strongsubj,NEG,,
abrumar,weaksubj,NEG,,
absurdo,strongsubj,NEG,,
abuchear,strongsubj,NEG,,
aburrido,strongsubj,NEG,,
abusar,strongsubj,NEG,,
accesible,strongsubj,POS,,
aclarar,strongsubj,POS,,
acosar,strongsubj,NEG,,
activo,weaksubj,POS,,
acusar,strongsubj,NEG,,
adaptable,weaksubj,POS,,
adecuado,weaksubj,POS,,
adicto,weaksubj,NEG,,
admirar,strongsubj,POS,,
adorar,strongsubj,POS,,
adversario,strongsubj,NEG,,
advertencia,weaksubj,NEG,,
afecto,strongsubj,POS,,
afinidad,strongsubj,POS,,
afortunado,strongsubj,POS,,
agonía,strongsubj,NEG,,
agotado,strongsubj,NEG,,
agraciado,strongsubj,POS,,
agradable,strongsubj,POS,,
agradecido,strongsubj,POS,,
agresión,strongsubj,NEG,,
aguafiestas,strongsubj,NEG,,
alegar,strongsubj,NEG,,
alentar,strongsubj,POS,,
alfabetizado,weaksubj,POS,,
alivio,strongsubj,POS,,
amable,strongsubj,POS,,
amado,strongsubj,POS,,
amargo,strongsubj,NEG,,
ambicioso,weaksubj,POS,,
ambiguo,strongsubj,NEG,,
ameno,strongsubj,POS,,
amenaza,weaksubj,NEG,,
amistad,strongsubj,POS,,
amor,strongsubj,POS,,
andrajoso,strongsubj,NEG,,
ángel,weaksubj,POS,,
angustia,strongsubj,NEG,,
animado,strongsubj,POS,,
anticuado,weaksubj,NEG,,
apasionado,strongsubj,POS,,
apático,strongsubj,NEG,,
apenado,weaksubj,NEG,,
aportar,weaksubj,POS,,
apreciar,strongsubj,POS,,
aprender,strongsubj,POS,,
aprendizaje,strongsubj,POS,,
aprobar,weaksubj,POS,,
apropiado,weaksubj,POS,,
apto,strongsubj,POS,,
ardúo,strongsubj,POS,,
arrepentido,weaksubj,POS,,
arrogante,strongsubj,NEG,,
asco,strongsubj,NEG,,
asegurar,weaksubj,POS,,
asesorar,strongsubj,POS,,
asistir,strongsubj,POS,,
asqueroso,strongsubj,NEG,,
astuto,strongsubj,POS,,
atento,strongsubj,POS,,
atormentar,weaksubj,NEG,,
atractivo,strongsubj,POS,,
atrasar,strongsubj,NEG,,
atrevido,weaksubj,NEG,,
aturdir,weaksubj,NEG,,
audaz,strongsubj,POS,,
ausente,strongsubj,NEG,,
autoritario,weaksubj,NEG,,
autosuficiente,weaksubj,POS,,
avanzado,strongsubj,POS,,
avergonzar,strongsubj,NEG,,
ayudar,strongsubj,POS,,
baboso,strongsubj,NEG,,
bárbaro,weaksubj,NEG,,
bastardo,strongsubj,NEG,,
basura,strongsubj,NEG,,
beneficio,strongsubj,POS,,
berrinche,strongsubj,NEG,,
bromear,strongsubj,NEG,,
bien,strongsubj,POS,,
bienestar,strongsubj,POS,,
bipolar,strongsubj,NEG,,
blasfemia,strongsubj,NEG,,
bobo,strongsubj,NEG,,
bondadoso,strongsubj,POS,,
bonito,strongsubj,POS,,
borracho,strongsubj,NEG,,
bostezo,strongsubj,NEG,,
brillante,strongsubj,POS,,
brinda,strongsubj,POS,,
broma,strongsubj,NEG,,
brusco,strongsubj,NEG,,
brutal,strongsubj,NEG,,
bueno,strongsubj,POS,,
burla,strongsubj,NEG,,
caballeroso,strongsubj,POS,,
calamidad,strongsubj,NEG,,
calidad,strongsubj,POS,,
calificado,strongsubj,POS,,
calma,weaksubj,POS,,
calumnia,strongsubj,NEG,,
camaradas,weaksubj,POS,,
campeón,strongsubj,POS,,
canalla,strongsubj,NEG,,
cansado,strongsubj,NEG,,
caos,strongsubj,NEG,,
caótico,strongsubj,NEG,,
capacidad,weaksubj,POS,,
capaz,weaksubj,POS,,
caprichoso,strongsubj,NEG,,
carente,strongsubj,NEG,,
carga,weaksubj,NEG,,
cariñoso,weaksubj,POS,,
carisma,strongsubj,POS,,
castigo,strongsubj,NEG,,
catástrofe,strongsubj,NEG,,
cautela,weaksubj,NEG,,
cautivar,strongsubj,POS,,
ceder,weaksubj,POS,,
censura,strongsubj,NEG,,
centrado,strongsubj,POS,,
chantaje,strongsubj,NEG,,
chiflado,strongsubj,NEG,,
chismoso,strongsubj,NEG,,
chocante,strongsubj,NEG,,
cínico,strongsubj,NEG,,
claridad,strongsubj,POS,,
claro,strongsubj,POS,,
cobarde,strongsubj,NEG,,
coherente,strongsubj,POS,,
cómico,weaksubj,NEG,,
cómodo,weaksubj,POS,,
compadecerse,strongsubj,POS,,
compasión,strongsubj,POS,,
compensar,weaksubj,POS,,
competente,strongsubj,POS,,
competitivo,strongsubj,POS,,
complacer,strongsubj,NEG,,
complejo,weaksubj,NEG,,
complemento,weaksubj,POS,,
complicar,weaksubj,NEG,,
comprender,strongsubj,POS,,
compromiso,weaksubj,POS,,
conciliar,strongsubj,POS,,
conciso,strongsubj,POS,,
condenable,strongsubj,NEG,,
conferencia,weaksubj,POS,,
confesar,weaksubj,POS,,
confianza,strongsubj,POS,,
confiar,strongsubj,POS,,
confidente,strongsubj,POS,,
configurar,weaksubj,POS,,
conflicto,strongsubj,NEG,,
confrontar,strongsubj,NEG,,
confundir,strongsubj,NEG,,
confusión,strongsubj,NEG,,
conmoción,strongsubj,NEG,,
conmovedor,strongsubj,POS,,
conoce,strongsubj,POS,,
conquistar,weaksubj,POS,,
consciente,strongsubj,POS,,
consentimiento,strongsubj,POS,,
consideración,strongsubj,POS,,
consistente,weaksubj,POS,,
conspiración,strongsubj,NEG,,
constante,strongsubj,POS,,
consternación,strongsubj,NEG,,
constructivo,weaksubj,POS,,
consuelo,strongsubj,POS,,
consumir,weaksubj,NEG,,
contagioso,weaksubj,NEG,,
contaminar,strongsubj,NEG,,
contar,strongsubj,POS,,
contenido,weaksubj,POS,,
contento,strongsubj,POS,,
continuidad,weaksubj,POS,,
contra,weaksubj,NEG,,
contradecir,strongsubj,NEG,,
contraproducente,strongsubj,NEG,,
contrario,strongsubj,NEG,,
contribucion,strongsubj,POS,,
controlar,weaksubj,POS,,
controversia,weaksubj,NEG,,
convencer,weaksubj,POS,,
conveniente,weaksubj,POS,,
convenir,weaksubj,POS,,
conviccion,strongsubj,POS,,
convincente,weaksubj,POS,,
cooperar,weaksubj,POS,,
copia,strongsubj,NEG,,
coquetear,strongsubj,NEG,,
cordial,weaksubj,POS,,
cordura,strongsubj,POS,,
correcto,strongsubj,POS,,
corregir,strongsubj,POS,,
corromper,strongsubj,NEG,,
corrupción,strongsubj,NEG,,
corrupto,strongsubj,NEG,,
cortar,weaksubj,NEG,,
cortejar,strongsubj,NEG,,
cortés,strongsubj,POS,,
costoso,weaksubj,NEG,,
cotidiano,weaksubj,POS,,
creativo,strongsubj,POS,,
creciente,weaksubj,POS,,
crédulo,strongsubj,NEG,,
creencia,weaksubj,POS,,
creíble,weaksubj,POS,,
creer,weaksubj,POS,,
crisis,strongsubj,NEG,,
debería,strongsubj,NEG,,
critica,strongsubj,NEG,,
crónico,weaksubj,NEG,,
cruel,strongsubj,NEG,,
cuestionable,strongsubj,NEG,,
cuidado,weaksubj,POS,,
culpa,strongsubj,NEG,,
cumple,strongsubj,POS,,
curioso,weaksubj,POS,,
cursi,strongsubj,NEG,,
daño,strongsubj,NEG,,
débil,strongsubj,NEG,,
debe,strongsubj,NEG,,
decaído,strongsubj,NEG,,
decente,weaksubj,POS,,
decepción,strongsubj,NEG,,
decisión,weaksubj,POS,,
declinar,weaksubj,NEG,,
decrecer,weaksubj,NEG,,
decrépito,strongsubj,NEG,,
dedica,strongsubj,POS,,
defecto,strongsubj,NEG,,
defender,strongsubj,POS,,
deficiencia,strongsubj,NEG,,
definido,weaksubj,POS,,
definitivo,weaksubj,POS,,
deformar,weaksubj,NEG,,
defraudación,strongsubj,NEG,,
degeneración,strongsubj,NEG,,
degradar,strongsubj,NEG,,
dejar,weaksubj,NEG,,
satisfacción,strongsubj,POS,,
deleite,strongsubj,POS,,
delicado,weaksubj,NEG,,
delincuente,strongsubj,NEG,,
delirio,strongsubj,NEG,,
delito,strongsubj,NEG,,
demacrado,strongsubj,NEG,,
demente,strongsubj,NEG,,
demoníaco,strongsubj,NEG,,
demuestra,strongsubj,POS,,
denigrar,strongsubj,NEG,,
deplorar,strongsubj,NEG,,
depravado,strongsubj,NEG,,
deprimido,strongsubj,NEG,,
derecho,weaksubj,POS,,
desacreditar,strongsubj,NEG,,
desacuerdo,strongsubj,NEG,,
desafecto,strongsubj,NEG,,
desafiar,strongsubj,NEG,,
desafortunado,strongsubj,NEG,,
desagradar,strongsubj,NEG,,
desahogarse,weaksubj,NEG,,
desaire,strongsubj,NEG,,
desalentar,strongsubj,NEG,,
desalmado,strongsubj,NEG,,
desamparar,strongsubj,NEG,,
desanimado,strongsubj,NEG,,
desánimo,strongsubj,NEG,,
desaparecer,weaksubj,NEG,,
desaprobar,strongsubj,NEG,,
desarmar,weaksubj,NEG,,
desarrolla,strongsubj,POS,,
desastre,strongsubj,NEG,,
desatinado,strongsubj,NEG,,
desautorizar,strongsubj,NEG,,
descabellado,strongsubj,NEG,,
descanso,weaksubj,NEG,,
descarado,strongsubj,NEG,,
descomponer,weaksubj,NEG,,
desconcertar,weaksubj,NEG,,
desconfianza,strongsubj,NEG,,
desconoce,strongsubj,NEG,,
desconsiderado,strongsubj,NEG,,
desconsolado,strongsubj,NEG,,
desconsuelo,strongsubj,NEG,,
descontento,strongsubj,NEG,,
descorazonar,strongsubj,NEG,,
descortés,strongsubj,NEG,,
descuido,strongsubj,NEG,,
desdeñar,strongsubj,NEG,,
altanero,strongsubj,NEG,,
desear,strongsubj,POS,,
desempeño,strongsubj,POS,,
desenfoque,weaksubj,NEG,,
desenmarañar,weaksubj,POS,,
deseo,weaksubj,POS,,
deserción,strongsubj,NEG,,
desesperación,strongsubj,NEG,,
desestabilización,strongsubj,NEG,,
desfachatez,strongsubj,NEG,,
desfallecer,strongsubj,NEG,,
desfavorecer,strongsubj,NEG,,
desgastar,weaksubj,NEG,,
desgraciado,strongsubj,NEG,,
deshacer,weaksubj,NEG,,
deshecho,weaksubj,NEG,,
deshizo,weaksubj,NEG,,
deshonesto,strongsubj,NEG,,
deshonrado,strongsubj,NEG,,
deshumanizar,strongsubj,NEG,,
desigual,strongsubj,NEG,,
desilusión,strongsubj,NEG,,
desinformado,strongsubj,NEG,,
desintegración,weaksubj,NEG,,
desinterés,strongsubj,NEG,,
desleal,strongsubj,NEG,,
deslumbrante,strongsubj,POS,,
desliz,weaksubj,NEG,,
deslumbrar,strongsubj,POS,,
desmayo,weaksubj,NEG,,
desmentir,strongsubj,NEG,,
desmoronarse,strongsubj,NEG,,
desmotiva,strongsubj,NEG,,
desobedecer,strongsubj,NEG,,
desolación,strongsubj,NEG,,
desorden,strongsubj,NEG,,
desorganización,strongsubj,NEG,,
desorientar,strongsubj,NEG,,
despacio,weaksubj,NEG,,
despectivo,strongsubj,NEG,,
desperdicio,strongsubj,NEG,,
desperfecto,weaksubj,NEG,,
despertar,weaksubj,POS,,
despiadado,strongsubj,NEG,,
despilfarro,strongsubj,NEG,,
desplazar,weaksubj,NEG,,
despojar,strongsubj,NEG,,
déspota,strongsubj,NEG,,
despotricar,strongsubj,NEG,,
despreciar,strongsubj,NEG,,
despreocupación,weaksubj,NEG,,
desprevenido,weaksubj,NEG,,
desproporcionado,weaksubj,NEG,,
desprovisto,strongsubj,NEG,,
destacable,strongsubj,POS,,
destartalado,strongsubj,NEG,,
destellar,weaksubj,POS,,
destinar,weaksubj,POS,,
destreza,strongsubj,POS,,
destructivo,strongsubj,NEG,,
destruir,strongsubj,NEG,,
desunión,strongsubj,NEG,,
desvalido,strongsubj,POS,,
desvanecimiento,weaksubj,NEG,,
desvarío,strongsubj,NEG,,
desventaja,strongsubj,NEG,,
desvergonzado,strongsubj,NEG,,
desvergüenza,strongsubj,NEG,,
desviar,strongsubj,NEG,,
deterioro,strongsubj,NEG,,
determinación,strongsubj,POS,,
detestar,strongsubj,NEG,,
devastar,strongsubj,NEG,,
devoción,weaksubj,POS,,
diablo,strongsubj,NEG,,
diablura,strongsubj,NEG,,
diabólico,strongsubj,NEG,,
dichoso,strongsubj,POS,,
dictador,strongsubj,NEG,,
didáctica,strongsubj,POS,,
difamar,strongsubj,NEG,,
dif­ícil,strongsubj,NEG,,
diferente,weaksubj,POS,,
diferir,weaksubj,NEG,,
dificultad,strongsubj,NEG,,
dignidad,strongsubj,POS,,
dignificar,strongsubj,POS,,
