termino,fs,polaridad
nad,weaksubj,NEG
socializ,weaksubj,NEG
abandon,strongsubj,NEG
aberr,strongsubj,NEG
abiert,weaksubj,POS
abland,strongsubj,NEG
abomin,strongsubj,NEG
aborrec,strongsubj,NEG
abrum,strongsubj,NEG
abrum,weaksubj,NEG
abrupt,weaksubj,NEG
absurd,strongsubj,NEG
abuche,strongsubj,NEG
aburr,strongsubj,NEG
abus,strongsubj,NEG
acat,strongsubj,POS
acces,strongsubj,POS
acept,weaksubj,POS
aclar,strongsubj,POS
acos,weaksubj,NEG
activ,weaksubj,POS
acus,strongsubj,NEG
adapt,weaksubj,POS
adecu,weaksubj,POS
adict,weaksubj,NEG
admir,strongsubj,POS
ador,strongsubj,POS
adul,strongsubj,POS
adversari,strongsubj,NEG
advertent,weaksubj,NEG
afect,strongsubj,POS
afin,weaksubj,POS
aflig,weaksubj,NEG
afortun,strongsubj,POS
agil,weaksubj,POS
agon,strongsubj,NEG
agot,strongsubj,NEG
agraci,strongsubj,POS
agrad,strongsubj,POS
agradec,strongsubj,POS
agresion,strongsubj,NEG
agres,strongsubj,NEG
agresor,strongsubj,NEG
agri,weaksubj,NEG
aguafiest,strongsubj,NEG
aleg,strongsubj,NEG
alegr,strongsubj,POS
alient,strongsubj,POS
alfabetiz,weaksubj,POS
alivi,strongsubj,POS
altruist,strongsubj,POS
amabil,strongsubj,POS
amabl,strongsubj,POS
amabl,weaksubj,POS
amad,strongsubj,POS
amarg,strongsubj,NEG
ambici,weaksubj,POS
ambigu,strongsubj,NEG
amen,strongsubj,POS
amenaz,weaksubj,NEG
amen,weaksubj,POS
amig,strongsubj,POS
amist,weaksubj,POS
amor,strongsubj,POS
andraj,strongsubj,NEG
angel,weaksubj,POS
angusti,strongsubj,NEG
anhel,strongsubj,POS
anim,strongsubj,POS
aniquil,strongsubj,NEG
ansi,strongsubj,POS
anticu,weaksubj,NEG
apasion,strongsubj,POS
apat,strongsubj,NEG
apen,strongsubj,NEG
aplast,weaksubj,NEG
aplaud,strongsubj,POS
aplaz,strongsubj,NEG
aport,strongsubj,POS
apreci,strongsubj,POS
aprend,strongsubj,POS
aprendizaj,weaksubj,POS
aprob,weaksubj,POS
apropi,weaksubj,POS
apto,weaksubj,POS
ardu,strongsubj,NEG
argument,weaksubj,NEG
arrebat,strongsubj,NEG
arregl,weaksubj,POS
arrepent,strongsubj,NEG
arrib,weaksubj,POS
arriesg,weaksubj,NEG
arrog,strongsubj,NEG
articul,strongsubj,POS
artificial,weaksubj,NEG
asalt,weaksubj,NEG
asco,strongsubj,NEG
asech,strongsubj,NEG
asegur,strongsubj,POS
asegur,weaksubj,NEG
asesor,strongsubj,POS
asist,strongsubj,POS
asombr,strongsubj,POS
aspir,strongsubj,POS
asquer,strongsubj,NEG
astut,strongsubj,POS
atent,strongsubj,POS
atorment,strongsubj,NEG
atorment,weaksubj,POS
atraccion,strongsubj,POS
atract,strongsubj,POS
atras,strongsubj,NEG
atrev,strongsubj,POS
atropell,strongsubj,NEG
atroz,strongsubj,NEG
aturd,weaksubj,NEG
audaz,strongsubj,POS
ausent,weaksubj,NEG
autodestruct,strongsubj,NEG
autonom,weaksubj,POS
autoritari,weaksubj,POS
autosuficient,weaksubj,POS
avanz,weaksubj,POS
avarici,strongsubj,NEG
avar,strongsubj,NEG
aventurer,strongsubj,POS
avergonz,strongsubj,NEG
ayud,strongsubj,POS
babos,weaksubj,NEG
baj,weaksubj,NEG
banal,strongsubj,NEG
barbar,strongsubj,NEG
bastard,strongsubj,NEG
basur,strongsubj,NEG
bell,strongsubj,POS
benefici,weaksubj,POS
benevolent,strongsubj,POS
benevol,strongsubj,POS
benign,weaksubj,POS
berrinch,strongsubj,NEG
besti,strongsubj,NEG
bien,weaksubj,POS
bienest,strongsubj,POS
bipol,strongsubj,NEG
blasfemi,strongsubj,NEG
bob,strongsubj,NEG
boicot,weaksubj,NEG
bond,strongsubj,POS
bondad,strongsubj,POS
bonit,strongsubj,POS
borrach,strongsubj,NEG
bostez,strongsubj,NEG
bribon,strongsubj,NEG
brillant,strongsubj,POS
brind,strongsubj,POS
brom,strongsubj,NEG
brusc,weaksubj,NEG
brutal,strongsubj,NEG
brut,strongsubj,NEG
buen,weaksubj,POS
buen,strongsubj,POS
burl,strongsubj,NEG
caballer,strongsubj,POS
calam,strongsubj,NEG
calid,strongsubj,POS
calific,weaksubj,POS
calm,weaksubj,POS
calumni,strongsubj,NEG
camar,strongsubj,POS
campeon,weaksubj,POS
canall,strongsubj,NEG
cans,strongsubj,NEG
caos,strongsubj,NEG
caotic,strongsubj,NEG
capac,weaksubj,POS
capaz,weaksubj,POS
caprich,strongsubj,NEG
carent,strongsubj,NEG
carg,strongsubj,NEG
cari�,strongsubj,POS
carism,strongsubj,NEG
castig,strongsubj,NEG
catastrof,strongsubj,NEG
cautel,strongsubj,NEG
cautiv,strongsubj,POS
ced,strongsubj,POS
censur,strongsubj,NEG
centr,strongsubj,POS
chantaj,weaksubj,NEG
chifl,strongsubj,NEG
chismos,strongsubj,NEG
chocant,strongsubj,NEG
cinic,strongsubj,NEG
clar,strongsubj,POS
clarid,weaksubj,POS
clar,weaksubj,POS
cobard,strongsubj,NEG
coherent,weaksubj,POS
cohes,weaksubj,POS
comic,weaksubj,NEG
comod,weaksubj,POS
compadec,strongsubj,NEG
compasion,strongsubj,POS
compens,weaksubj,POS
competent,strongsubj,POS
competit,weaksubj,POS
complac,strongsubj,NEG
complacient,strongsubj,NEG
complej,strongsubj,NEG
complement,weaksubj,POS
complic,weaksubj,NEG
comprend,strongsubj,POS
comprens,strongsubj,POS
compromis,weaksubj,POS
compulsion,strongsubj,NEG
compuls,strongsubj,NEG
concili,strongsubj,POS
concili,weaksubj,POS
concis,strongsubj,POS
conden,strongsubj,NEG
conferent,weaksubj,NEG
confes,strongsubj,NEG
confesion,strongsubj,NEG
confiabil,strongsubj,POS
confiabl,weaksubj,POS
confianz,strongsubj,POS
confi,weaksubj,POS
confident,strongsubj,POS
configur,strongsubj,NEG
conflict,weaksubj,NEG
confront,strongsubj,NEG
confront,weaksubj,NEG
confund,strongsubj,NEG
confund,weaksubj,NEG
